,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,income_missing,dependents_missing,has_delinquency_data_error,estimated_monthly_debt_payment,disposable_income_estimate,total_past_delinquencies
44,0,0.718705378,28,0,0.170125614,3661.0,4,0,0,0,1.0,0,0,0,622.8298728540001,3038.1701271459997,0
45,0,0.368875933,68,0,5.0,1.0,31,0,1,0,0.0,0,0,0,5.0,-4.0,0
46,0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0,0,0,0,2986.8222048000002,13813.1777952,0
47,0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0,0,0,0,34.988833321,3098.011166679,0
48,0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0,0,0,0,1335.310629445,601.6893705550001,0
49,0,0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2.0,0,0,0,5117.606338,7882.393662,0
50,0,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0,0,0,0,1768.7436609,5131.2563391,1
51,0,0.818977517,73,0,5.0,0.0,9,0,1,1,0.0,0,0,0,0.0,0.0,1
52,1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0,0,0,0,2474.175276,525.8247240000001,0
53,0,0.9999999,62,0,0.0,5400.0,1,0,0,0,0.0,1,0,0,0.0,5400.0,0
54,0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0,0,0,0,1761.69361925,3988.3063807500002,0
55,0,0.992015968,29,0,0.008064516,2231.0,1,0,0,0,0.0,0,0,0,17.991935196,2213.008064804,0
56,0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0,0,0,0,1008.926846785,12784.073153215,0
57,0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1.0,0,0,0,219.983075,12780.016925,1
58,0,0.401199782,64,0,0.351258937,3216.0,4,0,1,0,0.0,0,0,0,1129.648741392,2086.351258608,0
59,0,0.541108804,43,0,5.0,5400.0,3,0,1,0,2.0,1,0,0,27000.0,-21600.0,0
60,0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2.0,0,0,0,1520.7383893909998,4292.261610609,0
61,0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0,0,0,0,1876.758865129,5906.241134871,0
62,0,0.027399502,69,0,0.00803428,5600.0,3,0,0,0,0.0,0,0,0,44.991968,5555.008032,0
63,0,0.101155821,72,0,5.0,5400.0,12,0,2,0,0.0,1,0,0,27000.0,-21600.0,0
64,0,0.009788862,46,0,1.051397656,3326.0,6,0,2,0,2.0,0,0,0,3496.948603856,-170.94860385599986,0
65,0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0,0,0,0,2474.4501225000004,2025.5498774999996,0
66,0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0,0,0,0,2012.45901804,1707.54098196,0
67,0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1.0,0,0,0,2443.6835868949997,5279.316413105,2
68,0,0.006799093,27,1,0.681045752,764.0,3,0,0,0,0.0,0,0,0,520.318954528,243.68104547200005,1
69,0,0.004264079,31,0,0.111444278,2000.0,6,1,0,0,2.0,0,0,0,222.888556,1777.1114440000001,1
70,0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3.0,0,0,0,1522.8389408,7932.1610592,0
71,0,0.265898391,36,0,0.262611807,8384.0,6,0,2,0,1.0,0,0,0,2201.7373898879996,6182.262610112,0
72,0,0.142013011,67,0,5.0,5400.0,7,0,2,0,0.0,1,0,0,27000.0,-21600.0,0
73,0,0.827708197,56,0,0.369590815,6793.0,15,1,1,0,0.0,0,0,0,2510.6304062950003,4282.369593705,1
74,0,0.059668871,31,0,5.0,0.0,11,0,2,0,1.0,0,0,0,0.0,0.0,0
75,1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0,0,0,0,1875.8171148210001,8381.182885179,1
76,0,0.234218112,36,0,0.116614347,8600.0,19,0,0,0,3.0,0,0,0,1002.8833841999999,7597.1166158,0
77,0,0.122295933,29,0,0.694646949,4800.0,5,0,1,0,0.0,0,0,0,3334.3053552,1465.6946447999999,0
78,0,0.460376317,37,0,0.074155949,4975.0,6,0,0,0,0.0,0,0,0,368.92584627499997,4606.074153725,0
79,0,0.335558577,69,0,0.270448637,15000.0,14,0,2,0,1.0,0,0,0,4056.729555,10943.270445,0
80,0,0.270522569,41,0,2.797698945,1042.0,11,0,2,0,2.0,0,0,0,2915.20230069,-1873.20230069,0
81,0,0.183316667,52,0,0.111131623,10833.0,14,0,2,0,1.0,0,0,0,1203.888871959,9629.111128041,0
82,0,0.074861676,66,0,0.208842479,4500.0,3,0,1,0,0.0,0,0,0,939.7911555,3560.2088445,0
83,0,0.017258977,53,0,2.604510673,12414.0,13,0,1,0,2.0,0,0,0,32332.395494622,-19918.395494622,0
84,0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0.0,0,0,0,2435.5079793,2514.4920207,0
85,0,0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0.0,0,0,0,1303.6049697,1996.3950303,0
86,0,0.0,58,0,0.316144874,4886.0,9,0,1,0,1.0,0,0,0,1544.6838543640001,3341.316145636,0
87,0,0.360509632,58,1,5.0,5400.0,8,0,2,0,0.0,1,0,0,27000.0,-21600.0,1
88,0,0.003749688,64,0,0.004061231,3200.0,5,0,0,1,0.0,0,0,0,12.9959392,3187.0040608,1
89,1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0,0,0,0,2789.408521944,1926.5914780560001,0
90,0,0.080564168,60,0,0.487288997,4916.0,15,0,2,0,0.0,0,0,0,2395.512709252,2520.487290748,0
91,0,0.039387786,51,0,5.0,0.0,7,0,0,0,0.0,0,0,0,0.0,0.0,0
92,0,0.023767433,83,0,0.123797734,10500.0,13,0,0,0,0.0,0,0,0,1299.876207,9200.123793,0
93,0,0.784835658,52,0,5.0,5400.0,10,0,2,1,0.0,1,0,0,27000.0,-21600.0,1
94,0,0.888822236,34,0,0.368403802,3050.0,4,0,0,0,1.0,0,0,0,1123.6315961,1926.3684039,0
95,0,0.791173628,44,0,0.51241535,3100.0,5,0,1,0,0.0,0,0,0,1588.487585,1511.512415,0
96,0,0.24535301,37,0,0.288417167,6500.0,11,1,1,1,0.0,0,0,0,1874.7115854999997,4625.288414500001,2
97,0,0.542242704,48,2,5.0,5400.0,2,0,0,0,0.0,1,1,0,27000.0,-21600.0,2
98,0,0.010531379,57,0,0.280664917,5714.0,6,0,1,0,0.0,0,0,0,1603.7193357380002,4110.280664262,0
99,0,0.363199686,32,0,0.480523957,2900.0,4,0,1,0,0.0,0,0,0,1393.5194753,1506.4805247,0
100,0,0.032617977,75,0,0.006799093,7500.0,4,0,0,0,0.0,0,0,0,50.9931975,7449.0068025,0
101,0,0.013024674,61,0,5.0,5400.0,4,0,0,0,0.0,1,0,0,27000.0,-21600.0,0
102,0,0.019387779,34,0,0.32591852,4000.0,9,0,1,0,0.0,0,0,0,1303.67408,2696.32592,0
103,0,0.634485057,52,0,0.138238573,2690.0,2,0,0,0,0.0,0,0,0,371.86176137,2318.13823863,0
104,0,0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1.0,0,0,0,1468.7007520559998,3439.299247944,0
105,0,0.003108849,57,0,0.258939285,8333.0,7,0,1,0,0.0,0,0,0,2157.741061905,6175.258938094999,0
106,0,0.114830941,46,0,0.026235802,6250.0,6,0,0,0,3.0,0,0,0,163.9737625,6086.0262375,0
107,0,0.018886792,80,0,0.003478779,10060.0,5,0,0,0,0.0,0,0,0,34.99651674,10025.00348326,0
108,0,0.635415157,32,0,0.519493502,3000.0,4,0,1,0,1.0,0,0,0,1558.4805059999999,1441.5194940000001,0
109,0,0.9999999,62,0,0.664221287,8314.0,8,0,3,0,0.0,0,0,0,5522.335780118,2791.664219882,0
110,0,0.041257909,61,0,5.0,5400.0,11,0,4,0,0.0,1,1,0,27000.0,-21600.0,0
111,0,0.096737158,47,0,0.009748781,8000.0,2,0,0,0,2.0,0,0,0,77.990248,7922.009752,0
112,0,0.31844615,58,0,1.382629108,3833.0,26,0,4,0,0.0,0,0,0,5299.617370964,-1466.6173709639997,0
113,0,0.186987534,52,0,0.023993145,3500.0,4,0,0,0,0.0,0,0,0,83.97600750000001,3416.0239925,0
114,0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1.0,0,0,0,1080.89191,8919.10809,0
115,0,0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3.0,0,0,0,1190.6155577749998,1906.3844422250002,1
116,0,0.00750765,74,0,5.0,5400.0,4,0,0,0,0.0,1,0,0,27000.0,-21600.0,0
117,0,0.06790706,46,0,0.149103029,10200.0,6,0,2,0,0.0,0,0,0,1520.8508958,8679.1491042,0
118,0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0,0,0,0,5056.756637744001,-989.7566377440007,0
119,0,0.007520592,68,0,5.0,5400.0,4,0,0,0,0.0,1,0,0,27000.0,-21600.0,0
120,0,0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0.0,0,0,0,1003.87709488,7164.12290512,0
121,0,0.51712072,31,0,0.123752495,500.0,3,0,0,0,0.0,0,0,0,61.876247500000005,438.1237525,0
122,0,0.317975796,34,0,0.297933792,4500.0,11,0,2,0,0.0,0,0,0,1340.7020639999998,3159.297936,0
123,0,0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0.0,0,0,0,992.760490055,3152.239509945,0
124,0,0.444837661,58,0,0.366545247,14000.0,9,0,2,1,4.0,0,0,0,5131.633458,8868.366542,1
125,0,0.277956679,39,0,5.0,5400.0,9,0,2,0,0.0,1,0,0,27000.0,-21600.0,0
126,0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0.0,0,0,0,2044.36667628,1183.63332372,0
127,0,0.0,61,0,0.2226598,3300.0,14,0,1,0,0.0,0,0,0,734.77734,2565.22266,0
128,0,0.0,59,0,0.218854341,19167.0,13,0,2,0,0.0,0,0,0,4194.781153947,14972.218846053,0
129,0,0.151912549,36,0,0.266394467,12000.0,22,0,2,0,0.0,0,0,0,3196.7336040000005,8803.266395999999,0
130,0,0.0,59,0,0.351699622,4500.0,12,0,1,0,0.0,0,0,0,1582.648299,2917.351701,0
131,0,0.175727593,43,1,5.0,5400.0,4,0,1,0,0.0,1,0,0,27000.0,-21600.0,1
132,0,0.011498563,77,0,0.001998002,1000.0,1,0,0,0,0.0,0,0,0,1.998002,998.001998,0
133,0,0.0,48,0,0.517468688,4550.0,7,0,2,0,0.0,0,0,0,2354.4825304,2195.5174696,0
134,0,0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1.0,0,0,0,237.913517058,2513.086482942,0
135,0,0.047311582,51,0,0.100920343,3150.0,5,0,0,0,0.0,0,0,0,317.89908045,2832.10091955,0
136,0,0.083880003,53,0,0.199647533,7943.0,8,0,1,0,0.0,0,0,0,1585.800354619,6357.199645381,0
137,0,0.089478348,56,0,1.065901518,2700.0,11,0,1,0,2.0,0,0,0,2877.9340986,-177.9340986000002,0
138,0,0.773519223,63,0,1.129227053,4139.0,12,0,1,0,1.0,0,0,0,4673.8707723669995,-534.8707723669995,0
139,0,0.093962275,55,0,0.112051635,9450.0,6,0,2,0,0.0,0,0,0,1058.88795075,8391.11204925,0
140,0,0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1.0,0,0,0,1711.684017086,3705.315982914,0
141,0,0.147996253,55,0,0.323088235,6799.0,5,0,1,0,0.0,0,0,0,2196.676909765,4602.323090235001,0
142,0,0.576518559,72,0,5.0,5400.0,11,0,1,0,0.0,1,0,0,27000.0,-21600.0,0
143,0,0.243872021,53,0,0.534027778,8639.0,22,0,2,0,3.0,0,0,0,4613.465974142,4025.534025858,0
144,0,0.362483818,27,0,5.0,5400.0,4,0,0,0,0.0,1,0,0,27000.0,-21600.0,0
145,0,0.116676791,31,0,0.343593791,3800.0,7,0,1,0,0.0,0,0,0,1305.6564058,2494.3435942,0
146,0,0.9999999,38,0,0.43369976,5821.0,7,0,1,0,4.0,0,0,0,2524.56630296,3296.43369704,0
147,0,0.496911825,40,0,0.452363811,12500.0,11,0,2,0,2.0,0,0,0,5654.5476375,6845.4523625,0
148,0,0.130902106,48,1,0.427882174,3937.0,17,0,1,0,0.0,0,0,0,1684.572119038,2252.427880962,1
149,0,0.54699881,50,0,0.748071979,3500.0,9,0,2,0,3.0,0,0,0,2618.2519265,881.7480734999999,0
150,0,0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0.0,0,0,0,53.974087764,2029.025912236,0
151,0,0.0,48,2,0.370876375,3000.0,14,0,1,0,5.0,0,0,0,1112.629125,1887.370875,2
152,0,0.175932019,57,1,0.655812625,3500.0,9,0,1,0,1.0,0,0,0,2295.3441875000003,1204.6558124999997,1
153,0,0.050789842,30,0,0.315171207,4000.0,4,0,1,0,1.0,0,0,0,1260.684828,2739.315172,0
154,0,0.0,28,0,0.144616356,3166.0,7,0,0,0,0.0,0,0,0,457.855383096,2708.144616904,0
155,0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1.0,0,0,0,5402.436249721,4180.563750279,0
156,0,0.012682366,60,0,0.412979783,6825.0,20,0,2,0,0.0,0,0,0,2818.587018975,4006.412981025,0
157,0,0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4.0,0,0,0,4115.657028,7884.342972,0
158,0,0.040795358,49,0,0.801999355,3100.0,11,0,1,0,0.0,0,0,0,2486.1980005,613.8019995,0
159,0,0.147712223,40,0,0.034847816,6800.0,6,0,0,0,3.0,0,0,0,236.96514879999998,6563.0348512,0
160,0,0.0,63,0,2.0,5400.0,4,0,0,0,0.0,1,1,0,10800.0,-5400.0,0
161,0,0.0,50,1,0.726566993,3477.0,5,0,1,0,1.0,0,0,0,2526.273434661,950.726565339,1
162,0,0.070771911,38,0,5.0,5400.0,6,0,1,0,0.0,1,0,0,27000.0,-21600.0,0
163,1,1.046279103,47,1,1.104301274,5416.0,6,0,2,0,1.0,0,0,0,5980.895699984,-564.8956999840002,1
164,0,0.323719804,63,0,0.610841267,5146.0,9,0,2,0,2.0,0,0,0,3143.389159982,2002.610840018,0
165,0,0.36459777,42,0,0.593899089,6916.0,7,0,3,0,0.0,0,0,0,4107.406099524,2808.5939004760003,0
166,0,0.637736406,54,2,3.382196162,1875.0,9,0,2,0,0.0,0,0,0,6341.61780375,-4466.61780375,2
167,0,0.081379827,63,0,5.0,5400.0,8,0,1,0,0.0,1,0,0,27000.0,-21600.0,0
168,0,0.020966389,29,0,5.0,1.0,3,0,1,0,2.0,0,0,0,5.0,-4.0,0
169,0,0.170103002,36,0,0.138461538,7734.0,8,0,0,0,0.0,0,0,0,1070.861534892,6663.138465108,0
170,0,0.771845631,33,0,0.852429514,5000.0,7,0,3,0,0.0,0,0,0,4262.14757,737.8524299999999,0
171,0,0.05538241,72,0,0.089091313,4500.0,4,0,0,0,0.0,0,0,0,400.9109085,4099.0890915,0
172,0,0.9999999,29,0,5.0,5400.0,2,0,0,0,0.0,1,0,0,27000.0,-21600.0,0
173,0,0.16653274,53,0,0.543625949,7506.0,11,0,3,0,3.0,0,0,0,4080.456373194,3425.543626806,0
174,0,0.008632035,79,0,0.365151154,4200.0,9,0,1,0,0.0,0,0,0,1533.6348467999999,2666.3651532000003,0
175,0,0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2.0,0,0,0,3233.65799358,6221.34200642,0
176,0,0.167571389,69,0,0.330733853,5000.0,10,0,1,0,1.0,0,0,0,1653.6692650000002,3346.3307349999995,0
177,0,0.9999999,69,0,0.005319149,2255.0,0,1,0,0,3.0,0,0,0,11.994680995,2243.005319005,1
178,0,0.068335151,75,0,0.010927876,10065.0,9,0,0,0,0.0,0,0,0,109.98907194,9955.01092806,0
179,0,0.0,41,0,0.907538526,2400.0,6,0,1,0,0.0,0,0,0,2178.0924624,221.90753760000007,0
180,1,0.946963874,35,0,5.0,5400.0,6,0,1,0,1.0,1,0,0,27000.0,-21600.0,0
181,0,0.405183973,46,0,0.667835346,7700.0,22,0,2,0,1.0,0,0,0,5142.3321642,2557.6678358,0
182,0,0.055549313,65,0,5.0,5400.0,6,0,1,0,1.0,1,0,0,27000.0,-21600.0,0
183,0,0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0.0,0,0,0,1733.56333319,2236.43666681,1
184,0,0.184986787,55,4,5.0,5400.0,11,0,1,0,0.0,1,0,0,27000.0,-21600.0,4
185,1,0.085338293,51,0,0.477503628,6200.0,11,0,1,0,0.0,0,0,0,2960.5224936,3239.4775064,0
186,1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0,0,0,0,445.847103792,2470.152896208,1
187,1,0.786485406,44,0,0.291709578,3883.0,7,2,0,2,1.0,0,0,0,1132.708291374,2750.291708626,4
188,0,0.0112096,86,0,5.0,5400.0,3,0,0,0,0.0,1,0,0,27000.0,-21600.0,0
189,0,0.03833451,56,0,0.438912218,5000.0,7,0,2,0,0.0,0,0,0,2194.56109,2805.43891,0
190,0,0.714980139,55,0,0.47090194,15000.0,12,0,2,0,3.0,0,0,0,7063.529100000001,7936.470899999999,0
191,0,0.043032042,64,0,0.332016389,6833.0,14,0,2,0,0.0,0,0,0,2268.667986037,4564.332013963,0
192,0,1.095083357,53,5,0.536703799,3500.0,7,1,1,2,0.0,0,0,0,1878.4632964999998,1621.5367035000002,8
193,0,0.0,49,0,5.0,5400.0,11,0,1,0,0.0,1,0,0,27000.0,-21600.0,0
194,0,0.9999999,55,0,0.156259612,3250.0,5,0,0,0,4.0,0,0,0,507.84373899999997,2742.156261,0
195,0,0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0.0,0,0,0,80.983805,4919.016195,1
196,1,0.025892469,38,0,5.0,1.0,13,0,0,0,2.0,0,0,0,5.0,-4.0,0
197,0,0.762158561,44,4,0.224465502,21000.0,5,0,1,0,3.0,0,0,0,4713.775542,16286.224458,4
198,0,0.231692268,40,0,0.119660709,3300.0,7,0,0,0,0.0,0,0,0,394.88033970000004,2905.1196603,0
199,0,0.114869499,35,0,5.0,5400.0,6,0,0,0,0.0,1,0,0,27000.0,-21600.0,0
200,0,0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0.0,0,0,0,1048.6915629999999,2351.308437,0
201,0,0.045423864,64,0,0.181311286,5200.0,4,0,1,0,0.0,0,0,0,942.8186871999999,4257.1813128,0
202,0,0.311954668,61,0,0.269281443,9866.0,12,0,2,0,2.0,0,0,0,2656.730716638,7209.269283362,0
203,0,0.078738916,46,0,0.166215372,4800.0,6,0,1,0,4.0,0,0,0,797.8337856,4002.1662144,0
204,0,0.137609462,49,0,0.429533892,7272.0,11,0,2,0,0.0,0,0,0,3123.570462624,4148.429537376,0
205,0,0.030173038,64,0,0.17386957,9000.0,8,0,1,0,0.0,0,0,0,1564.82613,7435.1738700000005,0
206,0,0.021978375,40,0,0.443755624,10000.0,12,0,5,0,2.0,0,0,0,4437.55624,5562.44376,0
207,0,0.443696851,27,0,0.024340075,5833.0,4,0,0,0,0.0,0,0,0,141.975657475,5691.024342525,0
208,0,0.007506793,60,0,5.0,5400.0,8,0,1,0,1.0,1,0,0,27000.0,-21600.0,0
209,0,0.046640328,92,1,0.034326669,2650.0,13,0,0,0,0.0,0,0,0,90.96567284999999,2559.03432715,1
210,0,0.292365949,50,0,0.420180551,8750.0,8,0,2,0,0.0,0,0,0,3676.57982125,5073.420178750001,0
211,0,0.20808276,64,0,5.0,5400.0,14,0,2,0,0.0,1,0,0,27000.0,-21600.0,0
212,0,0.9999999,66,1,0.358101135,1937.0,4,1,0,0,0.0,0,0,0,693.6418984950001,1243.358101505,2
213,0,0.013500824,53,0,0.183464028,19000.0,8,0,1,0,2.0,0,0,0,3485.816532,15514.183468,0
214,0,0.9999999,62,0,0.04965839,6000.0,1,0,0,0,0.0,0,0,0,297.95034,5702.04966,0
215,1,0.655316473,63,0,5.0,5400.0,19,0,2,0,0.0,1,0,0,27000.0,-21600.0,0
216,0,0.9999999,50,2,5.0,5400.0,4,0,1,0,0.0,1,0,0,27000.0,-21600.0,2
217,0,0.028113957,61,0,0.031349387,2200.0,12,0,0,0,0.0,0,0,0,68.9686514,2131.0313486,0
218,0,0.222696207,42,0,5.0,1.0,3,0,1,0,2.0,0,0,0,5.0,-4.0,0
219,0,0.593985244,63,0,0.332698534,5250.0,4,0,2,0,0.0,0,0,0,1746.6673035,3503.3326965,0
220,0,0.017508178,73,1,0.135589153,4166.0,12,0,1,0,0.0,0,0,0,564.8644113979999,3601.135588602,1
221,0,0.611865678,72,0,0.04578345,7600.0,3,0,1,0,0.0,0,0,0,347.95422,7252.04578,0
222,0,0.333060631,52,3,0.700153374,5215.0,15,0,2,1,0.0,0,0,0,3651.2998454099998,1563.7001545900002,4
223,0,0.009025178,45,0,0.376836435,8167.0,4,0,1,0,2.0,0,0,0,3077.623164645,5089.376835355,0
224,0,0.260271523,44,0,0.296854804,6962.0,11,0,1,0,0.0,0,0,0,2066.703145448,4895.296854552,0
225,0,0.455950788,63,1,0.701766078,6001.0,19,0,2,0,0.0,0,0,0,4211.298234078,1789.701765922,1
226,0,0.080288098,37,0,0.322446259,6000.0,7,0,1,0,0.0,0,0,0,1934.677554,4065.322446,0
227,1,1.953488372,38,0,0.153500141,3556.0,5,0,0,0,2.0,0,0,0,545.846501396,3010.153498604,0
228,0,0.181557324,36,0,0.56071964,2000.0,7,0,1,0,1.0,0,0,0,1121.4392799999998,878.5607200000002,0
229,0,0.147123525,41,0,0.436025621,6400.0,5,0,1,0,2.0,0,0,0,2790.5639744,3609.4360256,0
230,0,0.025601772,63,1,0.262773723,10000.0,8,0,1,0,0.0,0,0,0,2627.73723,7372.262769999999,1
231,0,0.0,76,0,0.002465931,7704.0,3,0,0,0,0.0,0,0,0,18.997532424000003,7685.002467576,0
232,0,0.196372799,43,0,0.537485582,2600.0,10,0,1,0,0.0,0,0,0,1397.4625131999999,1202.5374868000001,0
233,0,0.083945242,64,0,0.588073078,2900.0,6,0,1,0,0.0,0,0,0,1705.4119262,1194.5880738,0
234,0,0.034833091,67,0,0.460246187,12916.0,9,0,2,0,0.0,0,0,0,5944.539751292,6971.460248708,0
